"","Player","Date","Team","Position","TOI","G","A1","A2","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","A","P","P1","G60","A60","P60","P160","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF","iSh%","iCSh%","iFSh%"
"79","SIDNEY.CROSBY","2016-01-18","PIT","C",14.53,0,0,1,4,2,2,0.06,0,7,11,0,0,1,0,0,0,1,1,1,0,0,4.13,4.13,0,16.52,8.26,8.26,0.27,3.23,0,0.39,0,0,0,0
"80","SIDNEY.CROSBY","2016-01-17","PIT","C",12.21,1,0,0,3,2,2,0.23,1,8,10,0,0,0,2,1,0,0,0,1,1,4.91,0,4.91,4.91,14.74,9.83,9.83,1.12,11.41,4.91,0.44,0,50,33.33,50
"81","SIDNEY.CROSBY","2016-01-15","PIT","C",14.51,0,1,0,2,1,0,0.09,1,12,5,0,1,0,3,0,0,0,1,1,1,0,4.14,4.14,0,8.27,4.14,0,0.38,9.21,4.14,0.71,1,NA,0,0
"82","SIDNEY.CROSBY","2016-01-12","PIT","C",15.49,0,1,1,9,7,3,0.93,4,7,8,0,0,0,0,1,0,0,2,2,1,0,7.75,7.75,0,34.86,27.11,11.62,3.61,13.3,15.49,0.47,0,0,0,0
"83","SIDNEY.CROSBY","2016-01-09","PIT","C",14.74,0,0,0,2,2,1,0.23,1,8,10,1,1,0,2,0,0,0,0,0,0,0,0,0,0,8.14,8.14,4.07,0.94,11.5,4.07,0.44,0,0,0,0
"84","SIDNEY.CROSBY","2016-01-06","PIT","C",15.32,0,0,0,4,2,0,0.14,0,11,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15.67,7.83,0,0.55,7.05,0,0.61,0,NA,0,0
"85","SIDNEY.CROSBY","2016-01-05","PIT","C",18.01,1,1,0,8,6,2,0.27,1,6,8,0,0,1,0,1,0,0,1,2,2,3.33,3.33,6.66,3.33,26.65,19.99,6.66,0.9,4.53,3.33,0.43,0,50,12.5,16.67
"86","SIDNEY.CROSBY","2016-01-02","PIT","C",13.36,0,0,0,3,3,3,0.23,1,8,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13.47,13.47,13.47,1.04,7.74,4.49,0.42,0,0,0,0
"87","SIDNEY.CROSBY","2015-12-31","PIT","C",12.29,1,0,0,5,4,3,0.4,3,10,6,0,1,2,0,0,1,0,0,1,1,4.88,0,4.88,4.88,24.41,19.53,14.65,1.94,9.94,14.65,0.62,1,33.33,20,25
"88","SIDNEY.CROSBY","2015-12-30","PIT","C",12.29,0,0,0,1,1,1,0.06,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,4.88,4.88,0.28,5.81,0,0.33,-1,0,0,0
"89","SIDNEY.CROSBY","2015-12-27","PIT","C",15.05,0,0,0,6,4,4,0.63,2,10,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,23.92,15.95,15.95,2.5,15.7,7.97,0.62,0,0,0,0
"90","SIDNEY.CROSBY","2015-12-26","PIT","C",11.95,1,0,0,6,3,2,0.09,0,8,3,1,0,0,0,1,0,0,0,1,1,5.02,0,5.02,5.02,30.13,15.06,10.04,0.47,3.13,0,0.73,-1,50,16.67,33.33
"91","SIDNEY.CROSBY","2015-12-19","PIT","C",16.56,0,0,0,5,5,5,0.38,2,6,6,1,1,2,0,0,1,0,0,0,0,0,0,0,0,18.12,18.12,18.12,1.36,7.51,7.25,0.5,0,0,0,0
"92","SIDNEY.CROSBY","2015-12-18","PIT","C",11.59,0,2,0,1,1,0,0.03,0,9,9,0,0,1,0,0,0,0,2,2,2,0,10.35,10.35,0,5.18,5.18,0,0.17,3.32,0,0.5,0,NA,0,0
"93","SIDNEY.CROSBY","2015-12-16","PIT","C",13.17,0,0,0,4,4,3,0.1,0,8,10,1,0,5,3,3,0,0,0,0,0,0,0,0,0,18.22,18.22,13.67,0.45,2.49,0,0.44,-1,0,0,0
"94","SIDNEY.CROSBY","2015-12-14","PIT","C",16.77,0,0,0,5,4,3,0.33,2,10,10,0,0,3,1,0,1,0,0,0,0,0,0,0,0,17.89,14.31,10.73,1.17,8.19,7.16,0.5,0,0,0,0
"95","SIDNEY.CROSBY","2015-12-11","PIT","C",14.73,0,0,0,6,6,4,0.36,2,12,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.44,24.44,16.29,1.45,5.94,8.15,0.6,1,0,0,0
"96","SIDNEY.CROSBY","2015-12-09","PIT","C",11.95,0,0,1,3,2,1,0.16,1,10,5,0,0,1,0,0,0,0,1,1,0,0,5.02,5.02,0,15.06,10.04,5.02,0.79,7.82,5.02,0.67,0,0,0,0
"97","SIDNEY.CROSBY","2015-12-06","PIT","C",15.79,0,1,0,4,4,1,0.12,0,8,2,0,0,3,3,1,0,1,1,1,1,0,3.8,3.8,0,15.2,15.2,3.8,0.46,3.01,0,0.8,0,0,0,0
"98","SIDNEY.CROSBY","2015-12-05","PIT","C",12.33,1,1,0,4,4,4,0.24,1,9,9,0,0,0,0,0,1,0,1,2,2,4.87,4.87,9.73,4.87,19.46,19.46,19.46,1.19,6.11,4.87,0.5,0,25,25,25
